Início da produção: 2026-01-12 12-29-52
Tamanho: 269ml_FIT | Feed: 5.1312
==================================================
2026-01-12 17-25-34: Main: 4680, Feed: 5.1312
2026-01-12 17-25-35: Main: 4710, Feed: 5.1312
2026-01-12 17-25-36: Main: 4740, Feed: 5.1312
2026-01-12 17-25-37: Main: 4770, Feed: 5.1312
2026-01-12 17-25-38: Main: 4800, Feed: 5.1312
2026-01-12 17-25-39: Main: 4830, Feed: 5.1312
2026-01-12 17-25-40: Main: 4860, Feed: 5.1312
2026-01-12 17-25-41: Main: 4890, Feed: 5.1312
2026-01-12 17-25-42: Main: 4920, Feed: 5.1312
2026-01-12 17-25-43: Main: 4950, Feed: 5.1312
2026-01-12 17-25-44: Main: 4980, Feed: 5.1312
2026-01-12 17-25-45: Main: 4995, Feed: 5.1312
2026-01-12 17-25-46: Main: 5025, Feed: 5.1312
2026-01-12 17-25-47: Main: 5055, Feed: 5.1312
2026-01-12 17-25-48: Main: 5085, Feed: 5.1312
2026-01-12 17-25-50: Main: 5115, Feed: 5.1312
2026-01-12 17-25-51: Main: 5145, Feed: 5.1312
2026-01-12 17-25-52: Main: 5175, Feed: 5.1312
2026-01-12 17-25-53: Main: 5205, Feed: 5.1312
2026-01-12 17-25-54: Main: 5235, Feed: 5.1312
2026-01-12 17-25-55: Main: 5265, Feed: 5.1312
2026-01-12 17-25-56: Main: 5295, Feed: 5.1312
2026-01-12 17-25-57: Main: 5310, Feed: 5.1312
2026-01-12 17-25-58: Main: 5340, Feed: 5.1312
2026-01-12 17-25-59: Main: 5370, Feed: 5.1312
2026-01-12 17-26-00: Main: 5400, Feed: 5.1312
2026-01-12 17-26-01: Main: 5430, Feed: 5.1312
2026-01-12 17-26-02: Main: 5460, Feed: 5.1312
2026-01-12 17-26-03: Main: 5490, Feed: 5.1312
2026-01-12 17-26-04: Main: 5520, Feed: 5.1312
2026-01-12 17-26-05: Main: 5550, Feed: 5.1312
2026-01-12 17-26-06: Main: 5580, Feed: 5.1312
2026-01-12 17-26-07: Main: 5610, Feed: 5.1312
2026-01-12 17-26-08: Main: 5625, Feed: 5.1312
2026-01-12 17-26-09: Main: 5655, Feed: 5.1312
2026-01-12 17-26-11: Main: 5685, Feed: 5.1312
2026-01-12 17-26-12: Main: 5715, Feed: 5.1312
2026-01-12 17-26-13: Main: 5745, Feed: 5.1312
2026-01-12 17-26-14: Main: 5775, Feed: 5.1312
2026-01-12 17-26-15: Main: 5805, Feed: 5.1312
2026-01-12 17-26-16: Main: 5835, Feed: 5.1312
2026-01-12 17-26-17: Main: 5865, Feed: 5.1312
2026-01-12 17-26-18: Main: 5895, Feed: 5.1312
2026-01-12 17-26-19: Main: 5910, Feed: 5.1312
2026-01-12 17-26-20: Main: 5940, Feed: 5.1312
2026-01-12 17-26-21: Main: 5970, Feed: 5.1312
2026-01-12 17-26-22: Main: 6000, Feed: 5.1312
2026-01-12 17-26-23: Main: 6030, Feed: 5.1312
2026-01-12 17-26-24: Main: 6060, Feed: 5.1312
2026-01-12 17-26-25: Main: 6090, Feed: 5.1312
2026-01-12 17-26-26: Main: 6120, Feed: 5.1312
2026-01-12 17-26-27: Main: 6150, Feed: 5.1312
2026-01-12 17-26-28: Main: 6180, Feed: 5.1312
2026-01-12 17-26-29: Main: 6210, Feed: 5.1312
2026-01-12 17-26-31: Main: 6240, Feed: 5.1312
2026-01-12 17-26-32: Main: 6255, Feed: 5.1312
2026-01-12 17-26-33: Main: 6285, Feed: 5.1312
2026-01-12 17-26-34: Main: 6315, Feed: 5.1312
2026-01-12 17-26-35: Main: 6345, Feed: 5.1312
2026-01-12 17-26-36: Main: 6375, Feed: 5.1312
2026-01-12 17-26-37: Main: 6405, Feed: 5.1312
2026-01-12 17-26-38: Main: 6435, Feed: 5.1312
2026-01-12 17-26-39: Main: 6465, Feed: 5.1312
2026-01-12 17-26-40: Main: 6495, Feed: 5.1312
2026-01-12 17-26-41: Main: 6525, Feed: 5.1312
2026-01-12 17-26-42: Main: 6555, Feed: 5.1312
2026-01-12 17-26-43: Main: 6585, Feed: 5.1312
2026-01-12 17-26-44: Main: 6615, Feed: 5.1312
2026-01-12 17-26-45: Main: 6660, Feed: 5.1312
2026-01-12 17-26-46: Main: 6690, Feed: 5.1312
2026-01-12 17-26-47: Main: 6735, Feed: 5.1312
2026-01-12 17-26-48: Main: 6765, Feed: 5.1312
2026-01-12 17-26-49: Main: 6795, Feed: 5.1312
